Id,Label,Energy,Community,pi,mr,qf,qb,t,s,evec
5961,5961,None,3,1.18455418903e-27,3.76142937539e-15,0.999999998964,1.03597650894e-09,None,None,0.0
5962,5962,None,4,1.56526513998e-29,3.69478878346e-26,1.0,7.70111540684e-19,None,None,0.0
5963,5963,None,4,5.0294337953e-26,1.81426911241e-24,1.0,1.1768863871e-20,None,None,0.0
5964,5964,None,1,1.48782368013e-28,7.16971247542e-08,0.804601418022,0.195398581978,None,None,0.0
5965,5965,None,1,1.82652471891e-29,8.8018877671e-09,0.8046014183,0.1953985817,None,None,0.0
5966,5966,None,1,2.92701618792e-27,1.41050749215e-06,0.804601418022,0.195398581978,None,None,0.0
5967,5967,None,6,3.61679333972e-28,1.1661738012e-15,0.999999998948,1.05194132136e-09,None,None,0.0
5968,5968,None,3,2.45609406623e-23,8.76427382882e-22,1.0,1.16418733542e-20,None,None,0.0
5969,5969,None,4,1.16779266561e-18,2.73177594577e-17,1.0,7.6318752285e-21,None,None,0.0
5970,5970,None,3,1.29929854034e-25,4.12578879985e-13,0.999999998964,1.0359766592e-09,None,None,0.0
5971,5971,None,0,1.28298152034e-33,9.69687661338e-21,2.46583150965e-09,0.999999997534,None,None,0.0
5972,5972,None,4,2.50108517245e-23,9.0139552898e-22,1.0,1.17581459425e-20,None,None,0.0
5973,5973,None,4,1.76935213107e-25,6.37677643971e-24,1.0,1.17581459425e-20,None,None,0.0
5974,5974,None,3,1.00683719883e-25,3.19709496308e-13,0.999999998964,1.03597246458e-09,None,None,0.0
5975,5975,None,6,2.43402303781e-30,7.72913767516e-18,0.999999998964,1.03599649837e-09,None,None,0.0
5976,5976,None,4,7.98427792451e-22,2.87754791502e-20,1.0,1.17581459425e-20,None,None,0.0
5977,5977,None,1,1.15808274554e-30,5.58071525489e-10,0.804601418023,0.195398581977,None,None,0.0
5978,5978,None,1,9.84659107947e-36,4.74499954822e-15,0.804601418031,0.195398581969,None,None,0.0
5979,5979,None,1,2.18905719065e-30,1.05489049735e-09,0.804601418519,0.195398581481,None,None,0.0
5980,5980,None,1,4.70861383933e-27,2.26904624329e-06,0.804601418519,0.195398581481,None,None,0.0
5981,5981,None,4,2.47453223591e-20,8.91825803589e-19,1.0,1.17581459425e-20,None,None,0.0
5982,5982,None,1,2.98221594304e-24,0.00143710784659,0.804601418031,0.195398581969,None,None,0.0
5983,5983,None,1,6.71105697467e-27,3.23400881136e-06,0.804601418031,0.195398581969,None,None,0.0
5984,5984,None,1,3.89028502533e-33,1.87471752291e-12,0.804598955357,0.195401044643,None,None,0.0
5985,5985,None,1,9.42294801773e-32,4.54089241566e-11,0.804598955357,0.195401044643,None,None,0.0
5986,5986,None,3,6.41053534335e-23,2.28752179776e-21,1.0,1.16418733542e-20,None,None,0.0
5987,5987,None,4,1.78110709078e-22,4.16648061827e-21,1.0,7.6318752285e-21,None,None,0.0
